epoch,avg_loss,top1,top10,top100,lr,logit_scale
1,6.759621,0.000500,0.007500,0.066500,0.00009029,14.337148
2,6.287221,0.001500,0.013000,0.109000,0.00017943,14.549433
3,6.042815,0.002500,0.027500,0.138000,0.00026857,14.896323
4,5.831867,0.005000,0.028000,0.169000,0.00035771,15.406322
5,5.658738,0.006000,0.032000,0.189000,0.00044686,16.073463
6,5.491490,0.004000,0.038000,0.196500,0.00053600,16.924744
7,5.297111,0.007500,0.061000,0.235500,0.00062514,17.989838
8,5.158417,0.008500,0.058500,0.265500,0.00071429,19.238722
9,4.994657,0.014500,0.085000,0.304500,0.00080000,20.688934
10,4.875571,0.014500,0.080500,0.311000,0.00079990,22.262035
11,4.645711,0.011000,0.096000,0.356000,0.00079959,23.946953
12,4.475364,0.017500,0.115500,0.397500,0.00079909,25.687435
13,4.307729,0.020000,0.141000,0.425500,0.00079839,27.474169
14,4.129030,0.018500,0.120000,0.406500,0.00079750,29.317841
15,3.982130,0.022500,0.144500,0.427000,0.00079641,31.149582
16,3.871039,0.022000,0.142500,0.477500,0.00079512,32.935913
17,3.746488,0.029500,0.172000,0.500500,0.00079363,34.748974
18,3.647840,0.035500,0.182000,0.507500,0.00079195,36.515621
19,3.460081,0.037000,0.188500,0.527500,0.00079008,38.345608
20,3.392832,0.044000,0.206500,0.545500,0.00078801,40.057682
21,3.265008,0.045000,0.196500,0.549500,0.00078575,41.815479
22,3.203038,0.047000,0.214500,0.552500,0.00078330,43.476234
23,3.086463,0.039500,0.229000,0.583000,0.00078066,45.185112
24,3.011744,0.039500,0.247000,0.605500,0.00077783,46.792110
1,6.759621,0.000500,0.007500,0.066500,0.00009029,14.337148
2,6.287221,0.001500,0.013000,0.109000,0.00017943,14.549433
3,6.042815,0.002500,0.027500,0.138000,0.00026857,14.896323
4,5.831867,0.005000,0.028000,0.169000,0.00035771,15.406322
5,5.658738,0.006000,0.032000,0.189000,0.00044686,16.073463
6,5.491490,0.004000,0.038000,0.196500,0.00053600,16.924744
7,5.297111,0.007500,0.061000,0.235500,0.00062514,17.989838
8,5.158417,0.008500,0.058500,0.265500,0.00071429,19.238722
9,4.994657,0.014500,0.085000,0.304500,0.00080000,20.688934
10,4.875571,0.014500,0.080500,0.311000,0.00079990,22.262035
11,4.645711,0.011000,0.096000,0.356000,0.00079959,23.946953
12,4.475364,0.017500,0.115500,0.397500,0.00079909,25.687435
13,4.307729,0.020000,0.141000,0.425500,0.00079839,27.474169
14,4.129030,0.018500,0.120000,0.406500,0.00079750,29.317841
15,3.982130,0.022500,0.144500,0.427000,0.00079641,31.149582
16,3.871039,0.022000,0.142500,0.477500,0.00079512,32.935913
17,3.746488,0.029500,0.172000,0.500500,0.00079363,34.748974
18,3.647840,0.035500,0.182000,0.507500,0.00079195,36.515621
19,3.460081,0.037000,0.188500,0.527500,0.00079008,38.345608
20,3.392832,0.044000,0.206500,0.545500,0.00078801,40.057682
21,3.265008,0.045000,0.196500,0.549500,0.00078575,41.815479
22,3.203038,0.047000,0.214500,0.552500,0.00078330,43.476234
23,3.086463,0.039500,0.229000,0.583000,0.00078066,45.185112
24,3.011744,0.039500,0.247000,0.605500,0.00077783,46.792110
25,2.938735,0.055000,0.261000,0.619500,0.00077481,48.350101
26,2.831250,0.046000,0.265000,0.634500,0.00077161,49.982147
27,2.760132,0.044500,0.254500,0.647500,0.00076822,51.617428
28,2.727654,0.044500,0.264500,0.622500,0.00076465,53.057030
29,2.630755,0.053500,0.284000,0.654000,0.00076090,54.573788
30,2.558933,0.064500,0.306500,0.657500,0.00075697,56.040112
31,2.494001,0.068000,0.309000,0.698000,0.00075287,57.572323
32,2.432409,0.056500,0.309500,0.691000,0.00074859,59.005463
33,2.384273,0.067500,0.326500,0.680500,0.00074413,60.390339
34,2.322656,0.068000,0.333500,0.705500,0.00073951,61.828705
35,2.273998,0.066500,0.333500,0.708500,0.00073472,63.095982
36,2.183750,0.071000,0.335500,0.728500,0.00072976,64.500359
37,2.147285,0.078500,0.356500,0.728000,0.00072464,65.741409
38,2.057175,0.060500,0.371500,0.734000,0.00071936,67.253464
39,2.027007,0.076500,0.357500,0.736000,0.00071392,68.544182
40,1.976633,0.078500,0.379000,0.762500,0.00070832,69.870773
41,1.912768,0.089000,0.410000,0.787000,0.00070257,71.294830
42,1.873447,0.086500,0.401500,0.780500,0.00069667,72.464500
43,1.819951,0.087000,0.413000,0.796500,0.00069063,73.681183
44,1.767131,0.094500,0.434000,0.792000,0.00068444,75.079300
45,1.689114,0.085500,0.425500,0.794500,0.00067811,76.533638
46,1.676620,0.097000,0.431500,0.809500,0.00067164,77.582268
47,1.657357,0.096000,0.439500,0.813000,0.00066504,78.665886
48,1.571663,0.105000,0.449000,0.811500,0.00065830,80.002098
49,1.540300,0.107500,0.448000,0.817500,0.00065144,81.303535
50,1.514006,0.090000,0.458500,0.849500,0.00064445,82.441025
51,1.475104,0.114000,0.497000,0.848000,0.00063735,83.651360
52,1.423194,0.111500,0.502500,0.855500,0.00063012,84.715668
53,1.400837,0.111000,0.507500,0.853500,0.00062278,85.793762
54,1.343098,0.113000,0.514500,0.888500,0.00061533,86.971664
55,1.320327,0.120500,0.533000,0.872500,0.00060778,88.142838
56,1.301204,0.120500,0.505000,0.866500,0.00060012,89.132301
57,1.246550,0.117000,0.519000,0.872000,0.00059236,90.356606
58,1.189575,0.128000,0.550000,0.892500,0.00058451,91.579819
59,1.143544,0.137500,0.575500,0.893000,0.00057656,92.831459
60,1.139536,0.109500,0.533500,0.887000,0.00056853,93.962463
61,1.095187,0.140500,0.550500,0.890000,0.00056042,95.123978
62,1.066062,0.148500,0.593500,0.900000,0.00055222,96.252975
63,1.051850,0.130500,0.584500,0.909000,0.00054395,97.247017
64,0.995597,0.143000,0.589500,0.905000,0.00053561,98.433075
65,0.984472,0.142500,0.586000,0.920000,0.00052720,99.479805
66,0.953278,0.162000,0.627500,0.924000,0.00051873,100.000000
67,0.934255,0.149000,0.601500,0.916000,0.00051020,100.000000
68,0.898047,0.164500,0.642500,0.934500,0.00050162,100.000000
69,0.869899,0.165000,0.647500,0.931000,0.00049298,100.000000
70,0.848706,0.165500,0.654500,0.931500,0.00048430,100.000000
71,0.819824,0.154500,0.675500,0.942500,0.00047558,100.000000
72,0.804081,0.169500,0.662500,0.936500,0.00046682,100.000000
73,0.770234,0.162000,0.632000,0.937000,0.00045803,100.000000
74,0.746852,0.174000,0.673000,0.944500,0.00044921,100.000000
75,0.724652,0.176000,0.684500,0.952000,0.00044037,100.000000
76,0.714152,0.176500,0.660500,0.944500,0.00043150,100.000000
77,0.683405,0.187500,0.695500,0.958500,0.00042262,100.000000
78,0.669523,0.181500,0.694500,0.955500,0.00041373,100.000000
79,0.647341,0.186500,0.712500,0.960000,0.00040484,100.000000
80,0.611062,0.195500,0.737000,0.964500,0.00039594,100.000000
81,0.600609,0.225500,0.739500,0.964000,0.00038704,100.000000
82,0.574752,0.191000,0.729000,0.966500,0.00037815,100.000000
83,0.578053,0.195000,0.736500,0.971000,0.00036927,100.000000
84,0.549962,0.207000,0.758500,0.968500,0.00036041,100.000000
85,0.533051,0.207000,0.762000,0.979000,0.00035156,100.000000
86,0.516272,0.213000,0.771000,0.977000,0.00034274,100.000000
87,0.498844,0.233500,0.781500,0.975500,0.00033395,100.000000
88,0.491052,0.217000,0.766500,0.970500,0.00032519,100.000000
89,0.478718,0.228500,0.783000,0.972500,0.00031647,100.000000
90,0.454197,0.229000,0.798000,0.977500,0.00030779,100.000000
91,0.432708,0.229000,0.797500,0.976000,0.00029916,100.000000
92,0.436203,0.232000,0.792000,0.980500,0.00029058,100.000000
93,0.427985,0.224500,0.801000,0.980000,0.00028205,100.000000
94,0.393381,0.231500,0.805000,0.980000,0.00027358,100.000000
95,0.398561,0.249000,0.812000,0.980500,0.00026517,100.000000
96,0.387290,0.260000,0.827500,0.986500,0.00025684,100.000000
97,0.371679,0.240000,0.824500,0.984000,0.00024857,100.000000
98,0.361259,0.253000,0.830000,0.991000,0.00024037,100.000000
99,0.358697,0.264500,0.839500,0.988000,0.00023226,100.000000
100,0.340924,0.259000,0.837000,0.989500,0.00022423,100.000000
101,0.339406,0.274500,0.869000,0.991000,0.00021629,100.000000
102,0.306081,0.261500,0.865000,0.994000,0.00020844,100.000000
103,0.315976,0.283000,0.868000,0.991000,0.00020068,100.000000
104,0.293535,0.277000,0.853000,0.994500,0.00019303,100.000000
105,0.288668,0.285000,0.880500,0.997000,0.00018547,100.000000
106,0.286776,0.310000,0.882000,0.991000,0.00017803,100.000000
107,0.279317,0.305000,0.894000,0.994500,0.00017069,100.000000
108,0.268637,0.285000,0.878500,0.994500,0.00016347,100.000000
109,0.265370,0.289500,0.895500,0.996000,0.00015637,100.000000
